x,y,z,roll,pitch,yaw
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
0.4,0,0.5,3.14159,-0,3.14159
